TCS,3.3,1.1L,IT Services & Consulting , Bengaluru ,440
Accenture,3.7,72.8k,IT Services & Consulting , Bengaluru ,258
Wipro,3.6,64.6k,IT Services & Consulting , Hyderabad ,371
Cognizant,3.7,60.9k,IT Services & Consulting , Hyderabad ,234
Capgemini,3.7,52.6k,IT Services & Consulting , Bengaluru ,182
HDFC Bank,3.8,51.7k,Banking , Mumbai ,1840
Infosys,3.5,48.3k,IT Services & Consulting , Bengaluru ,248
ICICI Bank,4.0,45.6k,Banking , Mumbai ,1442
HCLTech,3.4,45.5k,IT Services & Consulting , Chennai ,234
Tech Mahindra,3.4,43k,IT Services & Consulting , Hyderabad ,330
Genpact,3.6,41.7k,Analytics & KPO , Hyderabad ,182
TP,3.8,37.8k,BPO , Mumbai ,257
Jio,4.4,33.6k,Telecom , Mumbai ,1961
Axis Bank,3.6,32.8k,Banking , Mumbai ,1515
Concentrix Corporation,3.6,32k,BPO , Bengaluru ,179
Amazon,3.9,31.3k,Internet , Bengaluru ,524
Reliance Retail,3.9,27.3k,Retail , Mumbai ,1157
iEnergizer,4.6,27.2k,BPO , Noida ,52
LTIMindtree,3.6,26.2k,IT Services & Consulting , Bengaluru ,145
IBM,3.9,25.6k,IT Services & Consulting , Bengaluru ,161
HDB Financial Services,3.9,25.5k,NBFC , Mumbai ,1096
Larsen & Toubro Limited,3.9,23.7k,Engineering & Construction , Chennai ,762
Deloitte,3.7,22.9k,Management Consulting , Hyderabad ,189
Kotak Mahindra Bank,3.6,22.3k,Banking , Mumbai ,690
Reliance Industries,4.0,20.1k,Oil & Gas , Jamnagar ,822
Vodafone Idea,3.9,17.6k,Telecom , Pune ,709
Bharti Airtel,3.8,17k,Telecom , Gurugram ,794
BYJU'S,3.2,16.4k,EdTech , Bengaluru ,322
WNS,3.3,15.1k,IT Services & Consulting , Pune ,66
IDFC FIRST Bank,3.9,14.4k,Banking , Mumbai ,720
Ernst & Young,3.4,14.4k,Management Consulting , Bengaluru ,132
Tata Motors,4.1,14.1k,Automobile , Pune ,508
IndusInd Bank,3.4,14.1k,Banking , Mumbai ,797
AU Small Finance Bank,3.9,14.1k,Banking , Jaipur ,795
Muthoot FinCorp,4.6,13.1k,NBFC , Bengaluru ,1120
Bajaj Finserv,4.0,13k,NBFC , Pune ,1183
Flipkart,3.9,12.9k,Internet , Bengaluru ,559
PwC,3.3,12.4k,Management Consulting , Bengaluru ,136
Mahindra & Mahindra,4.0,12k,Automobile , Pune ,567
Infosys BPM,3.5,12k,BPO , Bengaluru ,96
HDFC Life,3.9,11.9k,Insurance , Mumbai ,707
DXC Technology,3.6,11.9k,IT Services & Consulting , Bengaluru ,131
Bandhan Bank,3.7,11k,Banking , Kolkata ,1006
Digitide Solutions,3.5,10.3k,IT Services & Consulting , Hyderabad ,273
Mphasis,3.3,10.2k,IT Services & Consulting , Bengaluru ,64
Yes Bank,3.7,10.1k,Banking , Mumbai ,542
Tata Steel,4.0,9.8k,Iron & Steel , Jamshedpur ,231
Quess,3.8,9.7k,Recruitment , Bengaluru ,749
Maruti Suzuki,4.2,9.5k,Automobile , Gurugram ,456
Asian Paints,3.9,9.5k,Chemicals , Mumbai ,554
Startek,3.1,9.4k,BPO , Bengaluru ,104
UltraTech Cement,4.1,9.4k,Building Material , Mumbai ,542
Paytm,3.2,9.3k,FinTech , Noida ,420
Bajaj Finance,3.9,9.1k,NBFC , Pune ,986
Shriram Finance,4.0,9.1k,NBFC , Chennai ,1118
Sutherland Global Services,3.4,8.9k,BPO , Chennai ,83
Equitas Small Finance Bank,4.4,8.8k,Banking , Chennai ,484
Cipla,4.1,8.5k,Pharma , Mumbai ,295
EXL Service,3.6,8.5k,Analytics & KPO , Noida ,61
Wells Fargo,3.6,8.5k,Financial Services , Bengaluru ,27
Ericsson,3.9,8.4k,Telecom , Noida ,163
Samsung,3.9,8.3k,Consumer Electronics & Appliances , Noida ,585
Dr. Reddy's,4.0,8.2k,Pharma , Hyderabad ,215
Optum Global Solutions,4.0,7.9k,IT Services & Consulting , Hyderabad ,68
JSW Steel,3.9,7.8k,Iron & Steel , Ballari ,195
JPMorgan Chase & Co.,3.8,7.8k,Financial Services , Bengaluru ,55
Delhivery,3.8,7.8k,Logistics , Gurugram ,762
ICICI Prudential Life Insurance,3.9,7.7k,Insurance , Mumbai ,506
Hexaware Technologies,3.4,7.6k,IT Services & Consulting , Chennai ,69
Jana Small Finance Bank,3.8,7.6k,Banking , Bengaluru ,420
Ujjivan Small Finance Bank,4.0,7.6k,Banking , Bengaluru ,539
HGS,3.7,7.6k,Emerging Technologies , Bengaluru ,122
Sun Pharmaceutical Industries,4.1,7.6k,Pharma , Vadodara ,265
Amazon Development Centre India,3.8,7.5k,Internet , Hyderabad ,146
Zydus Lifesciences,4.0,7.4k,Pharma , Ahmedabad ,179
Ekart Logistics,3.9,7.3k,Logistics , Bengaluru ,741
Lupin,4.1,7.3k,Pharma , Pune ,205
L&T Construction,4.0,7.3k,Engineering & Construction , Chennai ,434
KPMG India,3.4,7.2k,Management Consulting , Bengaluru ,112
Hindustan Unilever,4.2,7.2k,FMCG , Mumbai ,543
Axis Max Life Insurance,4.0,7.1k,Insurance , New Delhi ,505
ITC,3.9,7.1k,FMCG , Bengaluru ,378
Megha Engineering & Infrastructures,3.9,6.9k,Engineering & Construction , Hyderabad ,405
Tata Projects,4.2,6.8k,Engineering & Construction , Mumbai ,287
Coforge,3.3,6.8k,IT Services & Consulting , Noida ,103
Bajaj Life Insurance,3.8,6.6k,Insurance , Pune ,616
Cholamandalam Investment & Finance,3.8,6.6k,Financial Services , Chennai ,859
FIS,3.8,6.5k,FinTech , Pune ,60
L&T Technology Services,3.1,6.5k,IT Services & Consulting , Bengaluru ,93
Omega Healthcare,3.8,6.4k,BPO , Chennai ,69
Oracle,3.5,6.4k,Software Product , Bengaluru ,56
Muthoot Finance,3.7,6.4k,NBFC , Bengaluru ,792
JLL,4.1,6.3k,Real Estate , Gurugram ,86
IIFL Finance,4.0,6.3k,NBFC , Mumbai ,810
Indian Army,4.7,6.3k,Defence & Aerospace , New Delhi ,363
eClerx,3.1,6.2k,IT Services & Consulting , Pune ,32
HCL Group,3.5,6.1k,IT Services & Consulting , Chennai ,97
DMart,3.9,6.1k,Retail , Mumbai ,251
Virtusa Consulting Services,3.7,6.1k,IT Services & Consulting , Hyderabad ,55
Piramal Finance,4.2,6k,NBFC , Mumbai ,424
HSBC Group,3.8,6k,Financial Services , Bengaluru ,63
Indiamart Intermesh,3.5,6k,Internet , Noida ,174
PolicyBazaar,3.8,5.9k,Internet , Gurugram ,152
SMFG India Credit,3.9,5.9k,NBFC , Mumbai ,597
Access Healthcare,3.7,5.8k,BPO , Chennai ,63
BigBasket,3.9,5.8k,Internet , Bengaluru ,144
Siemens,3.9,5.8k,Industrial Automation , Bengaluru ,155
Aurobindo Pharma,4.0,5.8k,Pharma , Hyderabad ,115
Udaan,3.9,5.7k,Internet , Bengaluru ,367
Manappuram Finance,3.9,5.7k,NBFC , Bengaluru ,659
GlobalLogic,3.5,5.7k,IT Services & Consulting , Hyderabad ,62
Firstsource Solutions,3.5,5.7k,BPO , Bengaluru ,74
ICICI Lombard General Insurance Company,3.5,5.7k,Insurance , Mumbai ,319
Tata Capital,4.0,5.7k,NBFC , Mumbai ,450
Shapoorji Pallonji Group,4.1,5.7k,Engineering & Construction , Mumbai ,189
Standard Chartered,3.6,5.7k,Banking , Chennai ,67
UST,3.7,5.6k,IT Services & Consulting , Bengaluru ,52
Apollo Hospitals,4.1,5.6k,Healthcare , Chennai ,228
Mahindra Finance,3.9,5.6k,NBFC , Mumbai ,737
Bosch Global Software Technologies,3.7,5.6k,IT Services & Consulting , Bengaluru ,47
Ashok Leyland,4.0,5.6k,Automobile , Chennai ,266
Swiggy,3.7,5.5k,Internet , Bengaluru ,238
Citicorp,3.6,5.5k,Financial Services , Pune ,68
Hero MotoCorp,4.1,5.4k,Automobile , Gurugram ,370
CGI Group,4.0,5.4k,IT Services & Consulting , Bengaluru ,44
Cyient,3.6,5.3k,IT Services & Consulting , Hyderabad ,49
SBI Cards & Payment Services,3.6,5.3k,Financial Services , Gurugram ,444
BNY,3.6,5.2k,Financial Services , Pune ,27
Kalpataru Projects International,4.2,5.2k,Engineering & Construction , Mumbai ,325
NTT DATA,3.8,5.2k,IT Services & Consulting , Bengaluru ,81
IQVIA,3.7,5.2k,Clinical Research , Bengaluru ,67
Nagarjuna Construction Company,4.0,5.2k,Engineering & Construction , Hyderabad ,298
JustDial,3.5,5.1k,Internet , Noida ,232
Schneider Electric,4.1,5.1k,Industrial Automation , Bengaluru ,120
SBI Life Insurance Company,3.7,5.1k,Insurance , Mumbai ,658
TVS Motor,3.9,5.1k,Automobile , Hosur ,353
CBRE,4.1,5.1k,Real Estate , Hyderabad ,92
Persistent Systems,3.6,5k,IT Services & Consulting , Pune ,41
State Bank of India,3.8,4.9k,Banking , Mumbai ,626
Atos,3.8,4.9k,IT Services & Consulting , Pune ,49
vivo,4.1,4.9k,Consumer Electronics & Appliances , Noida ,415
KEC International,4.0,4.9k,Engineering & Construction , Mumbai ,314
Amdocs,3.6,4.8k,Software Product , Pune ,24
Ecom Express,4.0,4.8k,Logistics , Gurugram ,779
ITC Infotech,3.8,4.8k,IT Services & Consulting , Bengaluru ,68
JBM Group,3.9,4.8k,Auto Components , Gurugram ,118
Varun Beverages,4.0,4.8k,Beverage , New Delhi ,383
Eviden,3.6,4.8k,IT Services & Consulting , Pune ,39
Nagarro,3.9,4.7k,IT Services & Consulting , Gurugram ,49
Randstad,3.7,4.7k,Recruitment , Hyderabad ,362
Utkarsh Small Finance Bank,3.6,4.7k,Banking , Varanasi ,413
Bosch,4.1,4.7k,Auto Components , Bengaluru ,132
EY Global Delivery Services ( EY GDS),3.5,4.6k,IT Services & Consulting , Bengaluru ,56
Hewlett Packard Enterprise,4.0,4.6k,IT Services & Consulting , Bengaluru ,104
Aditya Birla Fashion and Retail,4.0,4.6k,Fashion & Textile , Bengaluru ,293
Cars24,3.5,4.6k,Internet , Gurugram ,172
L&T Finance,3.9,4.6k,NBFC , Mumbai ,644
Home Credit Finance,4.0,4.6k,NBFC , Gurugram ,139
Havells,3.9,4.5k,Electrical Equipment , Noida ,263
Mahindra Logistics,3.7,4.5k,Logistics , Mumbai ,234
Dell,3.8,4.5k,Consumer Electronics & Appliances , Bengaluru ,118
R1 RCM,3.8,4.5k,BPO , New Delhi ,46
Intas Pharmaceuticals,4.1,4.5k,Pharma , Ahmedabad ,150
OPPO,3.9,4.5k,Consumer Electronics & Appliances , Greater Noida ,413
Tata AIA Life Insurance,3.9,4.5k,Insurance , Mumbai ,448
Hetero,3.9,4.5k,Pharma , Hyderabad ,70
Hyundai Motor India Limited,4.1,4.4k,Automobile , Chennai ,291
Deutsche Bank,3.8,4.4k,Banking , Pune ,42
Berger Paints,3.7,4.4k,Chemicals , Kolkata ,362
Motilal Oswal Financial Services,3.7,4.4k,Financial Services , Mumbai ,170
Lenskart,3.3,4.4k,Internet , New Delhi ,247
TeamLease Services,3.9,4.3k,Recruitment , Bengaluru ,401
VE Commercial Vehicles,3.9,4.3k,Automobile , Indore ,181
Thermax Limited,4.2,4.2k,Industrial Machinery , Pune ,256
Macleods Pharmaceuticals,3.7,4.2k,Pharma , Mumbai ,135
Jubilant Foods Works,3.7,4.2k,Hospitality , Noida ,264
Bajaj Auto,3.8,4.2k,Automobile , Pune ,321
Carelon Global Solutions,3.9,4.2k,IT Services & Consulting , Bengaluru ,21
Aakash Educational Services,3.2,4.2k,Education & Training , New Delhi ,249
Kogta Financial India Limited,4.7,4.1k,NBFC , Jaipur ,261
LG Electronics,3.8,4.1k,Consumer Electronics & Appliances , Pune ,300
Hindalco Industries,4.2,4.1k,Metals & Mining , Sambalpur ,130
Jindal Steel Limited,3.9,4.1k,Iron & Steel , Angul ,175
State Street Corporation,3.5,4.1k,Financial Services , Bengaluru ,35
Royal Enfield,4.2,4.1k,Automobile , Chennai ,378
DCB Bank,3.8,4k,Banking , Mumbai ,347
HDFC Ergo General Insurance,4.0,4k,Insurance , Mumbai ,328
Tata Communications,3.9,4k,Telecom , Pune ,102
John Deere,4.0,4k,Industrial Machinery , Pune ,154
RBL Bank,3.5,4k,Banking , Mumbai ,291
Cummins,4.3,4k,Industrial Machinery , Pune ,116
Publicis Sapient,3.2,3.9k,IT Services & Consulting , Bengaluru ,46
Cloudnine Hospital,4.5,3.9k,Healthcare , Bengaluru ,46
Bank of America,4.1,3.9k,Banking , Gurugram ,35
Alembic Pharmaceuticals,3.9,3.9k,Pharma , Vadodara ,188
Pidilite Industries,4.2,3.9k,Chemicals , Mumbai ,320
Oyo Rooms,3.0,3.9k,Internet , Gurugram ,121
American Express,4.1,3.8k,Financial Services , Gurugram ,55
Aditya Birla Sun Life Insurance,4.0,3.8k,Insurance , Mumbai ,499
Grasim Industries,4.0,3.8k,Building Material , Bharuch ,251
Subros,3.8,3.8k,Auto Components , Noida ,90
Kyndryl,4.0,3.8k,IT Services & Consulting , Bengaluru ,39
PNB MetLife,3.3,3.8k,Insurance , New Delhi ,425
Reliance Communications,4.0,3.8k,Telecom , Mumbai ,467
ADP Private Limited,3.9,3.8k,Software Product , Hyderabad ,41
Altruist Technologies,4.4,3.8k,BPO , Bengaluru ,43
XpressBees,4.2,3.8k,Logistics , Pune ,479
Aditya Birla Capital,3.8,3.8k,NBFC , Mumbai ,344
Viatris,4.1,3.8k,Pharma , Hyderabad ,80
PVR INOX,3.9,3.8k,Media & Entertainment , New Delhi ,149
Escorts Kubota Limited,4.0,3.8k,Industrial Machinery , Faridabad ,158
Maersk,4.0,3.7k,Logistics , Chennai ,49
KPIT Technologies,2.9,3.7k,Software Product , Pune ,43
Birlasoft,3.5,3.7k,IT Services & Consulting , Pune ,49
Synechron,3.4,3.7k,IT Services & Consulting , Pune ,33
JK Cement,4.0,3.7k,Building Material , New Delhi ,334
Glenmark Pharmaceuticals,3.8,3.7k,Pharma , Mumbai ,187
Sodexo,4.0,3.7k,Facility Management Services , Mumbai ,161
Dabur,3.8,3.7k,FMCG , New Delhi ,322
Bharat Electronics,4.2,3.7k,Electronics Manufacturing , Bengaluru ,87
Kotak Mahindra Life Insurance Company,3.5,3.7k,Insurance , Mumbai ,258
Cogent E Services,3.1,3.6k,BPO , Noida ,57
Godrej & Boyce Manufacturing,3.8,3.6k,Consumer Electronics & Appliances , Mumbai ,169
Samvardhana Motherson Group,3.7,3.6k,Auto Components , Noida ,94
Abbott,4.1,3.6k,Pharma , Mumbai ,214
PhonePe,4.0,3.6k,FinTech , Bengaluru ,401
Ipca Laboratories,3.8,3.6k,Pharma , Mumbai ,161
Aarti Industries,4.1,3.6k,Agro Chemicals , Bharuch ,58
Reliance Projects & Property Management Services,4.0,3.6k,Other , Kolkata ,626
Reliance Digital,4.1,3.6k,Retail , Mumbai ,379
Indian Oil Corporation,4.4,3.5k,Oil & Gas , New Delhi ,313
MRF Tyres,3.6,3.5k,Auto Components , Chennai ,194
